X,Z,Success?,ReachedExit
46.69044,-4.894472,1,2
16.64195,-28.20308,1,1
49.90265,-17.94335,-1,0
49.28654,-27.53969,-1,0
87.36611,-15.48172,1,3
8.956935,-9.045534,1,1
52.4991,-10.0271,1,2
48.72704,-8.760294,1,2
44.40905,-18.88999,1,1
60.93014,-9.127337,1,2
57.7318,-28.96655,1,1
89.7753,-20.26299,-1,0
44.68941,-10.80417,-1,0
62.52253,-9.163301,-1,0
50.34836,-9.772129,-1,0
20.22519,-28.26691,1,1
37.35786,-9.026763,1,1
52.93093,-20.71104,1,1
87.27103,-28.18268,1,3
14.02195,-28.84167,1,1
55.557,-28.17844,1,1
77.38979,-9.208532,1,2
90.91302,-22.77511,1,3
45.3915,-22.67908,1,1
48.82713,-24.94502,1,1
24.17083,-28.03922,1,1
90.11256,-10.49186,1,2
53.99267,-28.504,1,1
44.65303,-25.54974,1,1
48.81633,-24.21695,-1,0
31.84622,-9.405352,-1,0
8.754105,-28.00564,1,1
85.33571,-28.98304,1,3
45.39096,-20.97125,1,1
49.44218,-24.12053,-1,0
33.0857,-28.76485,1,1
26.73165,-28.73338,1,1
62.96085,-9.810774,1,2
82.41922,-28.45029,1,3
51.65931,-15.91238,1,2
63.35616,-28.71428,1,1
87.59416,-25.56627,1,3
61.54911,-28.30143,1,1
53.76429,-9.277353,1,2
68.23989,-9.168773,1,2
43.44661,-9.19655,1,1
50.17658,-23.72567,-1,0
47.2793,-28.21461,1,1
42.69971,-28.2932,1,1
40.29276,-9.707526,1,1
89.17883,-28.60941,1,3
44.19388,-19.21267,1,1
94.28471,-9.05889,1,2
44.6674,-8.501537,1,2
66.71194,-9.078689,1,2
88.95715,-26.18272,1,3
86.74916,-9.44235,1,3
87.10254,-20.46894,1,3
47.68394,-6.098363,1,2
63.69006,-9.192951,1,2
49.72922,-4.726876,1,2
81.26074,-28.78006,1,3
79.07883,-28.71051,1,3
54.24826,-28.47678,1,1
59.63684,-9.672081,1,2
65.13674,-28.71755,1,1
23.79711,-28.0997,1,1
64.50766,-28.61479,1,1
22.89306,-28.39278,1,1
87.43912,-23.24898,1,3
25.01398,-9.059546,1,1
42.76885,-28.65134,1,1
85.66455,-28.53257,1,3
52.67249,-15.62691,0,0
48.0588,-23.86552,1,1
79.77792,-28.35839,1,3
49.31712,-9.024441,1,2
88.30709,-14.03698,1,3
49.01185,-13.90946,1,2
17.29877,-28.61899,1,1
57.96862,-9.33968,1,2
87.55153,-9.096247,1,3
51.97667,-15.8798,1,2
13.44394,-9.611019,1,1
73.4407,-9.365245,1,2
90.01321,-18.43152,-1,0
28.90017,-28.14922,-1,0
58.39338,-9.170967,1,2
47.69541,-25.57247,1,1
91.73611,-10.3391,1,2
91.48016,-9.112903,1,2
49.50898,-24.40047,-1,0
33.74981,-9.259991,1,1
49.19327,-9.381825,1,2
52.44333,-16.34885,-1,0
71.36894,-28.39413,1,1
18.68897,-9.821924,1,1
88.40968,-21.1684,1,3
60.63561,-28.25294,1,1
22.15882,-28.10106,1,1
90.64741,-26.46632,1,3
86.16772,-28.5572,1,3
44.85528,-9.473535,1,2
26.99829,-28.53437,1,1
16.84663,-28.82957,1,1
70.15756,-28.32556,1,1
76.47459,-28.48497,1,1
52.29602,-28.52499,1,1
52.05849,-17.86535,-1,0
47.58781,-9.725076,-1,0
79.07767,-28.66069,-1,0
80.11233,-28.90496,1,3
44.68871,-13.77706,1,2
88.89122,-27.82606,1,3
94.52608,-9.148993,1,2
88.08221,-9.018099,1,3
73.25216,-28.08471,1,1
66.18768,-28.43098,1,1
11.36933,-28.91587,1,1
72.4809,-28.308,1,1
87.91832,-13.10087,1,3
68.38988,-28.74892,1,1
28.48353,-9.129806,1,1
84.40565,-9.088791,1,2
46.21659,-3.32034,1,2
18.50253,-9.484083,1,1
45.54671,-22.26064,1,1
46.28411,-19.64343,1,1
59.07918,-9.871876,1,2
87.35029,-20.45187,1,3
62.89824,-28.83838,1,1
29.70344,-9.316767,1,1
87.15926,-25.86014,1,3
91.4586,-10.12494,1,2
15.68277,-28.77773,1,1
70.82901,-28.89544,1,1
67.79205,-9.318264,1,2
32.67656,-9.689177,1,1
31.77133,-9.921791,1,1
77.41125,-9.221844,1,2
68.47366,-9.971404,1,2
73.87361,-28.57599,1,1
54.69749,-9.470791,1,2
78.31853,-9.651195,1,2
74.56423,-28.61583,1,1
41.66009,-9.734307,1,1
91.42059,-14.14655,-1,0
78.95859,-28.5119,1,3
67.78342,-28.32516,1,1
23.31754,-28.91311,1,1
66.51961,-28.04168,1,1
89.66801,-14.22872,-1,0
51.50311,-3.262111,-1,0
5.140985,-9.857503,-1,0
93.29175,-9.969998,1,2
62.2099,-9.952232,1,2
36.4278,-28.96396,1,1
85.56398,-9.898132,1,2
45.97038,-28.7765,1,1
88.73741,-16.45353,-1,0
73.74873,-28.05255,-1,0
24.09714,-9.46166,1,1
88.36923,-24.59483,1,3
67.80743,-28.18394,1,1
44.65621,-16.29608,1,2
28.51701,-28.53616,1,1
29.29676,-28.99897,1,1
51.71765,-12.88563,-1,0
55.72708,-9.269028,1,2
39.174,-28.49388,1,1
4.235427,-9.250258,1,1
27.65834,-28.75739,1,1
55.27893,-9.134995,1,2
72.94286,-28.41215,1,1
71.30462,-28.34631,1,1
62.48632,-28.86236,1,1
40.79017,-28.37308,1,1
82.83025,-28.5692,1,3
38.92492,-9.591156,1,1
94.08714,-9.51004,1,2
47.54849,-15.40997,1,2
37.27232,-9.642889,1,1
88.83978,-10.58171,1,2
26.64966,-9.933217,1,1
14.37711,-9.03404,1,1
34.24714,-9.239923,1,1
89.48373,-26.908,1,3
25.22778,-9.081672,1,1
75.50874,-9.860476,1,2
28.50325,-9.740946,1,1
36.97216,-28.00153,1,1
89.28587,-24.90063,1,3
2.13277,-28.48023,1,1
80.48427,-9.353914,1,2
16.81838,-28.74458,1,1
73.00008,-9.422422,1,2
56.65619,-28.809,1,1
27.93149,-28.27941,1,1
16.068,-28.81487,1,1
82.65451,-28.42503,1,3
91.71268,-15.66072,-1,0
88.10332,-9.15496,1,3
81.20297,-9.672303,1,2
51.50251,-24.74842,1,1
25.11189,-28.63131,1,1
13.89395,-9.636779,1,1
16.23326,-28.61428,1,1
35.00169,-28.66033,1,1
87.22794,-14.36622,1,3
13.92082,-9.055959,1,1
84.29406,-28.7149,1,3
75.76254,-28.73028,1,1
36.79622,-9.628458,1,1
90.03608,-19.57822,-1,0
15.29299,-9.99839,-1,0
33.97086,-28.27847,-1,0
47.94585,-14.10454,1,2
49.38395,-22.72987,-1,0
88.69308,-21.90924,-1,0
81.3182,-9.040481,-1,0
26.31487,-28.83028,1,1
87.60689,-28.1578,1,3
42.80482,-9.898267,1,1
46.09253,-4.300126,1,2
40.74197,-28.6793,1,1
39.07518,-9.966369,1,1
52.1953,-27.88016,1,1
25.50366,-9.360937,1,1
44.4092,-20.72308,1,1
83.47093,-9.404949,1,2
16.61067,-9.467539,1,1
40.34746,-28.03006,1,1
5.977935,-9.749801,1,1
12.40039,-28.27913,1,1
89.31204,-9.467191,1,2
74.01534,-9.173343,1,2
17.71565,-28.14179,1,1
16.26532,-9.233067,0,0
72.05576,-9.564725,1,2
33.98873,-28.55238,1,1
19.37963,-9.984652,1,1
47.82346,-18.5479,1,1
87.50034,-14.81241,1,3
36.28778,-9.139434,1,1
81.94722,-28.76965,1,3
11.36516,-9.854712,1,1
49.86189,-11.5859,1,2
82.19816,-9.76171,1,2
86.57356,-28.25114,1,3
81.97539,-28.63642,1,3
88.54967,-12.16607,1,2
44.21912,-17.73105,1,1
66.04242,-9.613532,1,2
67.04431,-28.6757,1,1
45.16918,-3.486498,1,2
49.28639,-19.69527,-1,0
52.44946,-9.210736,-1,0
46.94434,-22.8776,-1,0
30.83919,-9.793519,1,1
50.4797,-18.25764,-1,0
2.505275,-9.390372,-1,0
90.28042,-9.84389,1,2
30.85471,-9.188966,1,1
18.86782,-9.136734,1,1
59.50567,-9.272635,1,2
87.77091,-19.27981,1,3
78.77442,-28.39678,1,3
5.827556,-28.14168,1,1
89.93141,-9.31236,1,2
47.79111,-14.99811,0,0
81.83778,-9.016803,1,2
88.54729,-15.54525,-1,0
89.81344,-18.74791,-1,0
82.85123,-9.240263,1,2
46.0256,-12.22185,1,2
46.46745,-26.58271,1,1
88.41547,-16.4848,1,3
46.52624,-28.09179,1,1
87.49373,-13.59678,1,3
43.11521,-28.86248,1,1
4.030999,-28.81624,1,1
14.0973,-28.02599,1,1
86.49059,-9.707006,1,2
89.22048,-23.48808,1,3
89.92426,-22.1197,-1,0
75.534,-9.046463,1,2
